Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Number of blocks: 10; Measurements per number of affected blocks: 30

Number of affected blocks: 1
Number of cycles: 3411200; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411159; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411132; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411067; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410976; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411281; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410991; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411279; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411099; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411201; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411188; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411251; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 3411161.000000
Standard deviation: 121.671555

Number of affected blocks: 5
Number of cycles: 3411253; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411041; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411130; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411405; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411153; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411041; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411156; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411149; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411198; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410927; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411060; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411056; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411216; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411495; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410974; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411013; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411023; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411177; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411720; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410973; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411124; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411240; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411059; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411032; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411132; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411219; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411056; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411002; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410979; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411292; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 3411143.000000
Standard deviation: 166.316467

Number of affected blocks: 6
