Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Threshold: 1; Measurements per block: 50

Number of blocks: 1
Number of cycles: 3113114; error? 0
Number of cycles: 3112882; error? 0
Number of cycles: 3113007; error? 0
Number of cycles: 3113218; error? 0
Number of cycles: 3113230; error? 0
Average: 3113043.750000
Standard deviation: 131.045654

Number of blocks: 10
Number of cycles: 3456489; error? 0
Number of cycles: 3456449; error? 0
Number of cycles: 3456397; error? 0
Number of cycles: 3456462; error? 0
Number of cycles: 3456821; error? 0
Number of cycles: 3456432; error? 0
Number of cycles: 3456558; error? 0
Number of cycles: 3456465; error? 0
Number of cycles: 3456361; error? 0
Number of cycles: 3456408; error? 0
Number of cycles: 3456506; error? 0
Number of cycles: 3456374; error? 0
Number of cycles: 3456328; error? 0
Number of cycles: 3456448; error? 0
Number of cycles: 3456798; error? 0
Number of cycles: 3456514; error? 0
Number of cycles: 3456428; error? 0
Number of cycles: 3456543; error? 0
Number of cycles: 3456439; error? 0
Number of cycles: 3456844; error? 0
Number of cycles: 3456448; error? 0
Number of cycles: 3456614; error? 0
Number of cycles: 3456440; error? 0
Number of cycles: 3456560; error? 0
Number of cycles: 3457038; error? 0
Number of cycles: 3456395; error? 0
Number of cycles: 3456455; error? 0
Number of cycles: 3456713; error? 0
Number of cycles: 3456413; error? 0
Number of cycles: 3456790; error? 0
Number of cycles: 3456440; error? 0
Number of cycles: 3456349; error? 0
Number of cycles: 3456514; error? 0
Number of cycles: 3456531; error? 0
Number of cycles: 3456550; error? 0
Number of cycles: 3456517; error? 0
Number of cycles: 3456358; error? 0
Number of cycles: 3456717; error? 0
Number of cycles: 3456443; error? 0
Number of cycles: 3456520; error? 0
Number of cycles: 3456594; error? 0
Number of cycles: 3456777; error? 0
Number of cycles: 3456464; error? 0
Number of cycles: 3456519; error? 0
Number of cycles: 3456431; error? 0
Number of cycles: 3456444; error? 0
Number of cycles: 3456874; error? 0
Number of cycles: 3456334; error? 0
Number of cycles: 3456577; error? 0
Number of cycles: 3456502; error? 0
Average: 3456528.250000
Standard deviation: 155.879410


Program received signal SIGINT, Interrupt.
main () at main_cw521.c:471
471	  while (true) {
