Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf
Start: 1; End: 10; Interval: 1; Threshold: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 676146625; hash_key found?: 1
Number of cycles: 676145378; hash_key found?: 1
Number of cycles: 676148483; hash_key found?: 1
Number of cycles: 676145631; hash_key found?: 1
Number of cycles: 676147390; hash_key found?: 1
Number of cycles: 676148140; hash_key found?: 1
Number of cycles: 676146599; hash_key found?: 1
Number of cycles: 676147804; hash_key found?: 1
Number of cycles: 676146040; hash_key found?: 1
Number of cycles: 676146541; hash_key found?: 1
Number of cycles: 676148130; hash_key found?: 1
Number of cycles: 676148257; hash_key found?: 1
Number of cycles: 676147725; hash_key found?: 1
Number of cycles: 676147356; hash_key found?: 1
Number of cycles: 676146676; hash_key found?: 1
Number of cycles: 676147936; hash_key found?: 1
Number of cycles: 676147491; hash_key found?: 1
Number of cycles: 676146199; hash_key found?: 1
Number of cycles: 676146984; hash_key found?: 1
Number of cycles: 676147634; hash_key found?: 1
Number of cycles: 676147796; hash_key found?: 1
Number of cycles: 676147235; hash_key found?: 1
Average: 676147136.000000
Standard deviation: 782.092896

Number of blocks: 10
Number of cycles: 745441244; hash_key found?: 1
Number of cycles: 745442022; hash_key found?: 1
Number of cycles: 745441489; hash_key found?: 1
Number of cycles: 745441685; hash_key found?: 1
Number of cycles: 745443508; hash_key found?: 1
Number of cycles: 745439963; hash_key found?: 1
Number of cycles: 745441411; hash_key found?: 1
Number of cycles: 745439642; hash_key found?: 1
Number of cycles: 745440626; hash_key found?: 1
Number of cycles: 745440507; hash_key found?: 1
Number of cycles: 745441168; hash_key found?: 1
Number of cycles: 745442995; hash_key found?: 1
Number of cycles: 745438735; hash_key found?: 1
Number of cycles: 745441979; hash_key found?: 1
Number of cycles: 745440236; hash_key found?: 1
Number of cycles: 745440543; hash_key found?: 1
Number of cycles: 745439731; hash_key found?: 1
Number of cycles: 745440483; hash_key found?: 1
Number of cycles: 745442468; hash_key found?: 1
Number of cycles: 745440690; hash_key found?: 1
Number of cycles: 745440653; hash_key found?: 1
Number of cycles: 745442190; hash_key found?: 1
Number of cycles: 745441502; hash_key found?: 1
Number of cycles: 745440086; hash_key found?: 1
Number of cycles: 745440783; hash_key found?: 1
Number of cycles: 745439742; hash_key found?: 1
Number of cycles: 745440868; hash_key found?: 1
Number of cycles: 745442292; hash_key found?: 1
Number of cycles: 745441483; hash_key found?: 1
Number of cycles: 745442026; hash_key found?: 1
Average: 745441152.000000
Standard deviation: 1065.236328


Program received signal SIGINT, Interrupt.
main () at main_cw521.c:381
381	  while (true) {
warning: Error detected on fd 0
error detected on stdin
