Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Threshold: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 41533187; error? 1
Number of cycles: 41533146; error? 1
Number of cycles: 41532930; error? 1
Number of cycles: 41533305; error? 1
Number of cycles: 41532464; error? 1
Number of cycles: 41532866; error? 1
Number of cycles: 41533451; error? 1
Number of cycles: 41533272; error? 1
Number of cycles: 41532649; error? 1
Number of cycles: 41532606; error? 1
Number of cycles: 41532558; error? 1
Number of cycles: 41532914; error? 1
Number of cycles: 41532873; error? 1
Number of cycles: 41532839; error? 1
Average: 41532872.000000
Standard deviation: 310.529022

Number of blocks: 3
Number of cycles: 42407816; error? 1
Number of cycles: 42407601; error? 1
Number of cycles: 42407746; error? 1
Number of cycles: 42408119; error? 1
Number of cycles: 42407824; error? 1
Number of cycles: 42407784; error? 1
Number of cycles: 42407827; error? 1
Number of cycles: 42407950; error? 1
Number of cycles: 42408057; error? 1
Number of cycles: 42407808; error? 1
Number of cycles: 42407562; error? 1
Number of cycles: 42407719; error? 1
Number of cycles: 42407961; error? 1
Number of cycles: 42407944; error? 1
Number of cycles: 42407762; error? 1
Number of cycles: 42407622; error? 1
Number of cycles: 42407681; error? 1
Number of cycles: 42407997; error? 1
Number of cycles: 42407794; error? 1
Number of cycles: 42407675; error? 1
Number of cycles: 42407887; error? 1
Number of cycles: 42407836; error? 1
Number of cycles: 42407817; error? 1
Number of cycles: 42407508; error? 1
Number of cycles: 42407721; error? 1
Number of cycles: 42408236; error? 1
Number of cycles: 42407777; error? 1
Number of cycles: 42408012; error? 1
Number of cycles: 42407692; error? 1
Number of cycles: 42407700; error? 1
Average: 42407812.000000
Standard deviation: 163.255219

Number of blocks: 4
Number of cycles: 43353030; error? 1
Number of cycles: 43352745; error? 1
Number of cycles: 43352771; error? 1
Number of cycles: 43352804; error? 1
Number of cycles: 43352365; error? 1
Number of cycles: 43352460; error? 1
Number of cycles: 43352881; error? 1
Number of cycles: 43352399; error? 1
Number of cycles: 43353095; error? 1
Number of cycles: 43352422; error? 1
Number of cycles: 43352615; error? 1
Number of cycles: 43352698; error? 1
Number of cycles: 43352939; error? 1
Number of cycles: 43352907; error? 1
Number of cycles: 43352568; error? 1
Number of cycles: 43353026; error? 1
Number of cycles: 43352836; error? 1
Number of cycles: 43352232; error? 1
Number of cycles: 43352765; error? 1
Number of cycles: 43352899; error? 1
Number of cycles: 43352808; error? 1
Number of cycles: 43353076; error? 1
Number of cycles: 43352860; error? 1
Number of cycles: 43352530; error? 1
Number of cycles: 43352861; error? 1
Number of cycles: 43352348; error? 1
Number of cycles: 43352558; error? 1
Number of cycles: 43352776; error? 1
Number of cycles: 43352903; error? 1
Number of cycles: 43352712; error? 1
Average: 43352732.000000
Standard deviation: 228.363449

Number of blocks: 5
Number of cycles: 44220164; error? 1
Number of cycles: 44219862; error? 1
Number of cycles: 44220013; error? 1
Number of cycles: 44219875; error? 1
Number of cycles: 44219339; error? 1
Number of cycles: 44219745; error? 1
Number of cycles: 44219436; error? 1
Number of cycles: 44219841; error? 1
Number of cycles: 44219423; error? 1
Number of cycles: 44219700; error? 1
Number of cycles: 44218963; error? 1
Number of cycles: 44219518; error? 1
Number of cycles: 44219731; error? 1
Number of cycles: 44219784; error? 1
Number of cycles: 44219780; error? 1
Number of cycles: 44219664; error? 1
Number of cycles: 44219486; error? 1
Number of cycles: 44219522; error? 1
Number of cycles: 44219627; error? 1
Number of cycles: 44220012; error? 1
Number of cycles: 44219699; error? 1
Number of cycles: 44219786; error? 1
Number of cycles: 44220072; error? 1
Number of cycles: 44219830; error? 1
Number of cycles: 44219204; error? 1
Number of cycles: 44219980; error? 1
Number of cycles: 44219506; error? 1
Number of cycles: 44219821; error? 1
Number of cycles: 44219862; error? 1
Number of cycles: 44219529; error? 1
Average: 44219696.000000
Standard deviation: 260.292145

Number of blocks: 6
Number of cycles: 45097400; error? 1
Number of cycles: 45097175; error? 1
Number of cycles: 45097285; error? 1
Number of cycles: 45097465; error? 1
Number of cycles: 45097282; error? 1
Number of cycles: 45097120; error? 1
Number of cycles: 45096995; error? 1
Number of cycles: 45097163; error? 1
Number of cycles: 45097508; error? 1
Number of cycles: 45097275; error? 1
Number of cycles: 45097299; error? 1
Number of cycles: 45097532; error? 1
Number of cycles: 45097608; error? 1
Number of cycles: 45097500; error? 1
Number of cycles: 45097063; error? 1
Number of cycles: 45097371; error? 1
Number of cycles: 45097154; error? 1
Number of cycles: 45097265; error? 1
Number of cycles: 45097446; error? 1
Number of cycles: 45097492; error? 1
Number of cycles: 45097710; error? 1
Number of cycles: 45097233; error? 1
Number of cycles: 45096771; error? 1
Number of cycles: 45097273; error? 1
Number of cycles: 45097450; error? 1
Number of cycles: 45097796; error? 1
Number of cycles: 45097583; error? 1
Number of cycles: 45097582; error? 1
Number of cycles: 45096728; error? 1
Number of cycles: 45097435; error? 1
Average: 45097336.000000
Standard deviation: 242.894760

Number of blocks: 7
Number of cycles: 46023048; error? 1
