Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 1543475; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543505; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543460; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543191; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 1543358.125000
Standard deviation: 114.165718

Number of blocks: 5
Number of cycles: 1856269; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856068; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856144; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856186; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856072; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856034; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856062; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856282; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856365; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856279; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856219; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856077; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856285; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856296; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856282; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856272; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856308; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856327; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856099; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856518; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856334; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856167; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856087; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856294; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856276; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856308; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
