Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Number of blocks: 4; Measurements per threshold: 30

Threshold: 1
Number of cycles: 43398403; error_corrected? 1
Number of cycles: 43398282; error_corrected? 1
Number of cycles: 43398220; error_corrected? 1
Number of cycles: 43398357; error_corrected? 1
Number of cycles: 43398397; error_corrected? 1
Average: 43398324.000000
Standard deviation: 247.302246

Threshold: 9
Number of cycles: 43404068; error_corrected? 1
Number of cycles: 43404755; error_corrected? 1
Number of cycles: 43404128; error_corrected? 1
Number of cycles: 43404091; error_corrected? 1
Number of cycles: 43404051; error_corrected? 1
Number of cycles: 43404689; error_corrected? 1
Number of cycles: 43404344; error_corrected? 1
Number of cycles: 43404120; error_corrected? 1
Number of cycles: 43404078; error_corrected? 1
Number of cycles: 43404400; error_corrected? 1
Number of cycles: 43404642; error_corrected? 1
Number of cycles: 43404404; error_corrected? 1
Number of cycles: 43404245; error_corrected? 1
Number of cycles: 43404538; error_corrected? 1
Number of cycles: 43404801; error_corrected? 1
Number of cycles: 43404003; error_corrected? 1
Number of cycles: 43404296; error_corrected? 1
Number of cycles: 43404380; error_corrected? 1
Number of cycles: 43404743; error_corrected? 1
Number of cycles: 43404324; error_corrected? 1
Number of cycles: 43404549; error_corrected? 1
Number of cycles: 43404854; error_corrected? 1
Number of cycles: 43404632; error_corrected? 1
Number of cycles: 43404495; error_corrected? 1
Number of cycles: 43404931; error_corrected? 1
Number of cycles: 43404898; error_corrected? 1
Number of cycles: 43404395; error_corrected? 1
Number of cycles: 43404228; error_corrected? 1
Number of cycles: 43403778; error_corrected? 1
Number of cycles: 43404399; error_corrected? 1
Average: 43404416.000000
Standard deviation: 293.634705

Threshold: 10
Number of cycles: 43409432; error_corrected? 1
Number of cycles: 43409958; error_corrected? 1
Number of cycles: 43409336; error_corrected? 1
Number of cycles: 43409945; error_corrected? 1
Number of cycles: 43409644; error_corrected? 1
Number of cycles: 43409872; error_corrected? 1
Number of cycles: 43409378; error_corrected? 1
Number of cycles: 43409534; error_corrected? 1
Number of cycles: 43409885; error_corrected? 1
Number of cycles: 43409576; error_corrected? 1
Number of cycles: 43409574; error_corrected? 1
Number of cycles: 43409536; error_corrected? 1
Number of cycles: 43409880; error_corrected? 1
Number of cycles: 43409329; error_corrected? 1
Number of cycles: 43409849; error_corrected? 1
Number of cycles: 43409376; error_corrected? 1
Number of cycles: 43409690; error_corrected? 1
Number of cycles: 43409185; error_corrected? 1
Number of cycles: 43409514; error_corrected? 1
Number of cycles: 43409323; error_corrected? 1
Number of cycles: 43409636; error_corrected? 1
Number of cycles: 43409684; error_corrected? 1
Number of cycles: 43409590; error_corrected? 1
Number of cycles: 43409657; error_corrected? 1
Number of cycles: 43409028; error_corrected? 1
Number of cycles: 43409943; error_corrected? 1
Number of cycles: 43409553; error_corrected? 1
Number of cycles: 43409755; error_corrected? 1
Number of cycles: 43409683; error_corrected? 1
Number of cycles: 43409361; error_corrected? 1
Average: 43409592.000000
Standard deviation: 233.544281


Program received signal SIGINT, Interrupt.
main () at main_cw521.c:538
warning: Source file is more recent than executable.
538	  while (true) {
