Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Threshold: 1; Measurements per block: 50

Number of blocks: 1
`/home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf' has changed; re-reading symbols.
Loading section .text, size 0xcbec lma 0x80000
Loading section .ARM.exidx, size 0x8 lma 0x8cbec
Loading section .relocate, size 0xa80 lma 0x8cbf4
Start address 0x00082d44, load size 54900
Transfer rate: 10 KB/sec, 9150 bytes/write.
Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Threshold: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 40788091; error? 1
Number of cycles: 40787771; error? 1
Number of cycles: 40788120; error? 1
Number of cycles: 40788055; error? 1
Number of cycles: 40787750; error? 1
Number of cycles: 40788255; error? 1
Number of cycles: 40788076; error? 1
Number of cycles: 40788017; error? 1
Number of cycles: 40788051; error? 1
Number of cycles: 40788486; error? 1
Number of cycles: 40787410; error? 1
Number of cycles: 40788102; error? 1
Number of cycles: 40787939; error? 1
Number of cycles: 40788323; error? 1
Number of cycles: 40787549; error? 1
Number of cycles: 40788222; error? 1
Number of cycles: 40788170; error? 1
Number of cycles: 40787780; error? 1
Number of cycles: 40788223; error? 1
Number of cycles: 40788028; error? 1
Number of cycles: 40788057; error? 1
Number of cycles: 40787543; error? 1
Number of cycles: 40787695; error? 1
Number of cycles: 40788021; error? 1
Number of cycles: 40788155; error? 1
Number of cycles: 40787689; error? 1
Number of cycles: 40787497; error? 1
Number of cycles: 40787922; error? 1
Number of cycles: 40788062; error? 1
Number of cycles: 40787790; error? 1
Average: 40787964.000000
Standard deviation: 257.809235

Number of blocks: 2
Number of cycles: 41842381; error? 1
Number of cycles: 41842582; error? 1
Number of cycles: 41842771; error? 1
Number of cycles: 41843107; error? 1
Number of cycles: 41842942; error? 1
Number of cycles: 41843063; error? 1
Number of cycles: 41842456; error? 1
Number of cycles: 41842813; error? 1
Number of cycles: 41842674; error? 1
Number of cycles: 41843101; error? 1
Number of cycles: 41843044; error? 1
Number of cycles: 41842500; error? 1
Number of cycles: 41842729; error? 1
Number of cycles: 41842508; error? 1
Number of cycles: 41843228; error? 1
Number of cycles: 41842819; error? 1
Number of cycles: 41842922; error? 1
Number of cycles: 41842537; error? 1
Number of cycles: 41842480; error? 1
Number of cycles: 41842813; error? 1
Number of cycles: 41842652; error? 1
Number of cycles: 41842767; error? 1
Number of cycles: 41842337; error? 1
Number of cycles: 41842789; error? 1
Number of cycles: 41842920; error? 1
Number of cycles: 41842549; error? 1
Number of cycles: 41842985; error? 1
Number of cycles: 41842813; error? 1
Number of cycles: 41842771; error? 1
Number of cycles: 41842824; error? 1
Average: 41842764.000000
Standard deviation: 227.559799

Number of blocks: 3
Number of cycles: 42898641; error? 1
Number of cycles: 42898620; error? 1
Number of cycles: 42898923; error? 1
Number of cycles: 42898860; error? 1
Number of cycles: 42898135; error? 1
Number of cycles: 42898737; error? 1
Number of cycles: 42898888; error? 1
Number of cycles: 42898414; error? 1
Number of cycles: 42898762; error? 1
Number of cycles: 42898599; error? 1
Number of cycles: 42898759; error? 1
Number of cycles: 42898682; error? 1
