Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 1519327; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518759; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518986; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518841; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518749; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518775; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519065; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518827; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518865; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518960; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519093; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519034; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518769; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519016; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518741; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518802; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518948; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518848; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519086; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518952; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 1518919.500000
Standard deviation: 133.371353

Number of blocks: 5
Number of cycles: 1826716; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826439; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826402; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826616; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826598; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826422; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826409; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826344; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826424; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826683; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826445; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826441; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826381; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826410; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826684; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826430; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826641; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826366; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826480; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826294; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826417; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826655; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826524; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826619; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826392; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826652; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826469; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826485; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1826440; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1827005; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 1826509.375000
Standard deviation: 146.829071

Number of blocks: 6
Number of cycles: 2128757; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128564; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128648; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128566; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128807; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128742; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128519; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128527; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128567; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128556; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128641; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128774; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128709; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128498; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128463; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128707; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128741; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128546; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128536; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 2128512; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
