Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 10; End: 100; Interval: 10; Affected blocks: 1; Measurements per block: 30

Number of blocks: 10
Number of cycles: 342414; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342613; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342641; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 343238; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342515; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342638; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 343061; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342663; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342731; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 343522; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 343117; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 343022; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342639; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342935; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342901; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342962; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342676; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342824; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 343175; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342522; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 343504; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342738; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 343003; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 343187; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342964; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342516; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 342896.687500
Standard deviation: 306.774445

Number of blocks: 60
Number of cycles: 406211; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406352; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406243; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 405679; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406247; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406105; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406102; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406085; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406310; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406493; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406391; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406009; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 405989; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406160; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406031; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406091; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 405877; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406132; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406966; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406547; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406174; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406663; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406464; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406320; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406606; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 405972; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 405999; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 405865; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 406147; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 405937; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 406205.562500
Standard deviation: 267.320404

Number of blocks: 70
Number of cycles: 475559; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475359; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475891; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475887; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475796; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 476102; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475778; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 476339; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475767; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 476206; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475845; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475796; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475858; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475920; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475429; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475874; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475664; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475865; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475564; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 476211; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475653; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475895; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 476297; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475867; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475954; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 476643; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475907; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475776; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475819; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 475598; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 475870.625000
Standard deviation: 267.509308

Number of blocks: 80
Number of cycles: 545522; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 546341; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 546419; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545855; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 546038; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545107; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545599; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545641; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545898; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545274; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545349; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545203; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545760; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 546105; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545150; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545859; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 546283; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545614; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 546286; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 546045; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545300; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545705; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545703; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545485; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545624; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 546890; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545570; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545733; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545974; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 545534; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 545762.187500
Standard deviation: 407.914154

Number of blocks: 90
Number of cycles: 608760; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 608963; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 609526; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 608921; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 609338; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 609032; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 608688; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 609854; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 608987; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 609151; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 609072; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 609192; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 608873; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 609107; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 608954; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 609670; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
